com.samsung.health.food_info,6210049,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
83.0,1.0,0.0,,0.0,"317 kcal, 90 g당",,samsungosp-011003,90,5.0,0.86,0.09,2019-01-12 06:06:13.047,2019-01-12 06:06:13.047,0.0,5.13,0.0,1.0,쌀밥,0.0,,5.0,316.8,인분,,2lBdpDiteS,g,0.0,0.0,com.sec.android.app.shealth,70.7,0.2840909,25022db6-e4f2-4929-b22e-3b119054ee2e,1,
380.0,7.0,10.0,,0.0,"80 kcal, 100 g당",,samsungosp-211016,100,2.0,1.8,0.2,2019-01-12 06:06:13.055,2019-01-12 06:06:13.055,0.0,1.2,0.0,1.0,바나나,0.0,,4.0,80.0,인분,,2lBdpDiteS,g,0.0,0.0,com.sec.android.app.shealth,21.1,1.25,47a085c0-6566-47c5-8eff-3519e97b0dc7,1,
256.0,1.0,0.0,,0.0,"353 kcal, 100 g당",,samsungosp-012011,100,4.0,3.09,0.64,2019-01-12 06:06:13.049,2019-01-12 06:06:13.049,0.01,7.8,0.06,2.0,잡곡밥,0.0,,16.0,352.8,인분,,2lBdpDiteS,g,0.03,0.0,com.sec.android.app.shealth,76.6,0.28344673,a5a4371b-ad25-4e62-83a5-8096bf9ee464,1,
72.0,18.0,0.0,,7.0,"43 kcal, 115 g당",,samsungosp-203017,115,5.0,0.0,1.935,2019-01-12 06:06:13.056,2019-01-12 06:06:13.056,0.0,0.37,0.0,0.0,"커피,설탕,프림",0.0,,12.0,42.8,인분,,2lBdpDiteS,g,0.0,0.0,com.sec.android.app.shealth,5.8,2.6869159,4343c3ba-958f-4e10-8976-66bb45132b4d,1,
293.0,0.0,0.0,,0.0,"315 kcal, 90 g당",,samsungosp-011005,90,71.0,2.97,1.89,2019-01-12 06:06:13.051,2019-01-12 06:06:13.051,0.0,6.84,0.0,1.0,현미밥,0.0,,5.0,315.0,인분,,2lBdpDiteS,g,0.0,0.0,com.sec.android.app.shealth,69.4,0.2857143,ced14be9-f336-4839-891c-6ef734f234cd,1,
60.0,0.0,0.0,,0.0,"3 kcal, 100 g당",,samsungosp-203018,100,1.0,0.0,0.0,2019-01-12 06:06:13.057,2019-01-12 06:06:13.057,0.0,0.1,0.0,0.0,"커피,원두,블랙",0.0,,2.0,3.0,인분,,2lBdpDiteS,g,0.0,0.0,com.sec.android.app.shealth,0.4,33.333332,d7fe4add-afff-449a-8de6-1e64e5eddf97,1,
180.0,29.0,8.0,,0.0,"11 kcal, 60 g당",,samsungosp-141008,60,688.0,1.8,0.3,2019-01-12 06:06:13.052,2019-01-12 06:06:13.052,0.0,1.2,0.0,0.0,배추김치,0.0,,28.0,10.8,인분,,2lBdpDiteS,g,0.0,0.0,com.sec.android.app.shealth,2.3,5.5555553,fd201767-3198-4424-8e53-873881d9a021,1,
296.0,56.0,2.0,,22.0,"120 kcal, 200 g당",,samsungosp-191005,200,110.0,0.0,6.4,2019-01-12 06:06:13.058,2019-01-12 06:06:13.058,1.82,6.4,0.22,0.0,우유,0.0,,210.0,120.0,인분,,2lBdpDiteS,g,4.34,0.0,com.sec.android.app.shealth,9.4,1.6666666,0bf6806c-7f5c-4c56-8f4d-b108fdd67044,1,
385.0,159.0,1.0,,240.0,"515 kcal, 169 g당",,samsungosp-031004,169,1252.0,3.66,20.599,2019-01-12 06:06:13.053,2019-01-12 06:06:13.053,2.19,15.992,0.8,2.0,라면,0.0,,42.0,515.0,인분,,2lBdpDiteS,g,1.57,0.0,com.sec.android.app.shealth,73.9,0.32815534,aaf6ff85-e6c1-4999-a12c-6c54171ed860,1,
420.0,386.0,14.0,,79.0,"445 kcal, 191 g당",,samsungosp-016001,190,662.0,3.31,12.765,2019-01-12 06:06:13.054,2019-01-12 06:06:13.054,2.93,10.656,4.41,3.0,김밥,0.0,,42.0,444.8,인분,,2lBdpDiteS,g,1.61,0.0,com.sec.android.app.shealth,71.2,0.4271583,0eb30675-ef78-412b-85a1-365070e41273,1,
