com.samsung.health.sleep_stage,6210049,6
start_time,sleep_id,custom,update_time,create_time,stage,time_offset,deviceuuid,pkg_name,end_time,datauuid
2020-10-30 13:56:00.000,27d11233-4d1c-fc67-aceb-fda16cbceb25,,2020-10-30 23:49:37.841,2020-10-30 23:49:37.841,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-10-30 14:43:00.000,48aa261e-e014-4d14-a938-f83f479e4f95,
2020-10-30 17:51:00.000,27d11233-4d1c-fc67-aceb-fda16cbceb25,,2020-10-30 23:49:37.850,2020-10-30 23:49:37.850,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-10-30 17:52:00.000,c7a54ab6-51fb-49f5-a9a9-973613e32b39,
2020-10-30 18:59:00.000,27d11233-4d1c-fc67-aceb-fda16cbceb25,,2020-10-30 23:49:37.855,2020-10-30 23:49:37.855,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-10-30 19:58:00.000,8a1b1297-7b26-4bc2-bdde-f8e28d3f66aa,
2020-10-30 22:45:00.000,27d11233-4d1c-fc67-aceb-fda16cbceb25,,2020-10-30 23:49:37.859,2020-10-30 23:49:37.859,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-10-30 23:49:00.000,910ca3c1-f6f1-4759-bc2d-c1c4565beea2,
2020-11-03 17:09:00.000,a8ee64ef-0db3-af5e-136a-a42c860e6d3a,,2020-11-03 21:25:52.280,2020-11-03 21:25:52.280,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-03 17:17:00.000,2b30f1c2-c57b-40ee-a589-37bcba817a79,
2020-11-03 17:39:00.000,a8ee64ef-0db3-af5e-136a-a42c860e6d3a,,2020-11-03 21:25:52.284,2020-11-03 21:25:52.284,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-03 17:56:00.000,1c3fa0d3-4618-4fd9-b934-72cce3671b8b,
2020-11-03 19:03:00.000,a8ee64ef-0db3-af5e-136a-a42c860e6d3a,,2020-11-03 21:25:52.312,2020-11-03 21:25:52.312,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-03 19:08:00.000,d183b028-d848-42c1-a3d3-11ed65bba945,
2020-11-03 20:30:00.000,a8ee64ef-0db3-af5e-136a-a42c860e6d3a,,2020-11-03 21:25:52.327,2020-11-03 21:25:52.327,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-03 20:31:00.000,5786ad32-086d-4a74-b094-15fc22613121,
2020-11-03 20:42:00.000,a8ee64ef-0db3-af5e-136a-a42c860e6d3a,,2020-11-03 21:25:52.336,2020-11-03 21:25:52.336,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-03 20:44:00.000,47a10d51-7ee2-4a28-869f-bb0ddeaef1cd,
2020-11-03 21:14:00.000,a8ee64ef-0db3-af5e-136a-a42c860e6d3a,,2020-11-03 21:25:52.356,2020-11-03 21:25:52.356,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-03 21:15:00.000,84297c60-5097-4137-8831-cf0eacdd5bf5,
2020-11-04 16:36:00.000,8eca4b04-41cf-c484-21ac-ce18c26bdc7d,,2020-11-04 22:04:18.252,2020-11-04 22:04:18.252,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-04 16:37:00.000,fd40c802-a7ca-429a-8da9-a9fe7271fcb9,
2020-11-04 16:45:00.000,8eca4b04-41cf-c484-21ac-ce18c26bdc7d,,2020-11-04 22:04:18.260,2020-11-04 22:04:18.260,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-04 16:50:00.000,ebc0b281-54d8-4ae7-9a12-dcf260c89223,
2020-11-04 17:00:00.000,8eca4b04-41cf-c484-21ac-ce18c26bdc7d,,2020-11-04 22:04:18.264,2020-11-04 22:04:18.264,40001,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-04 17:02:00.000,a0dcc15b-02bd-4b25-bd36-76d009178e64,
2020-11-04 17:53:00.000,8eca4b04-41cf-c484-21ac-ce18c26bdc7d,,2020-11-04 22:04:18.272,2020-11-04 22:04:18.272,40004,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-04 17:56:00.000,242dcc0e-705b-416e-9d44-5c214c6573be,
2020-11-04 19:08:00.000,8eca4b04-41cf-c484-21ac-ce18c26bdc7d,,2020-11-04 22:04:18.276,2020-11-04 22:04:18.276,40002,UTC+0900,2lBdpDiteS,com.sec.android.app.shealth,2020-11-04 19:19:00.000,d185052f-d1d5-4440-99fb-8f7a8dfca0a1,
