com.samsung.shealth.best_records,6210049,1
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,extra_type,deviceuuid,pkg_name,controller_id,datauuid
,-100003,2019-01-13 15:00:01.012,2019-01-13 15:00:01.012,,1547337600000,0,4801.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.pedometer,e128b011-5423-4d00-9450-7523f76c2ee3,
,-100003,2019-01-12 15:00:01.000,2019-01-12 15:00:01.000,,1547251200000,0,185.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.pedometer,7673db65-db5c-4705-bb7d-fa63fad54dc7,
,-100003,2019-03-08 15:00:00.851,2019-03-08 15:00:00.851,,1552003200000,0,20765.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.pedometer,c10a91bd-1671-4517-b9d8-773796b1a2e2,
,-100003,2019-02-22 15:00:01.119,2019-02-22 15:00:01.119,,1550793600000,0,19385.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.pedometer,03e3af46-5ab2-4415-b722-8b4d5f2b4968,
,-1,2020-11-13 00:09:25.901,2020-11-13 00:09:25.901,,1604275200000,6,11.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.floor,dae4ce2b-b8ac-40db-9421-75c4d181b46b,
,-1,2020-11-13 00:09:25.873,2020-11-13 00:09:25.873,,1604102400000,6,4.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.floor,94d8ce19-4bb5-4b91-b8cb-782289ea7f62,
,-1,2021-02-02 06:03:45.987,2021-02-02 06:03:45.987,,1610668800000,6,26.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.floor,04943937-c403-446a-b90f-49aae6ee4250,
964b2d65-786e-f88e-57b3-25a3fd50c621,-1,2022-02-10 08:31:00.851,2021-06-11 12:34:26.446,,1623446613920,3,740.529,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_walking,b7951821-3f91-48b9-bb1f-98529e3999df,
,-1,2021-02-02 06:03:45.671,2021-02-02 06:03:45.671,,1607731200000,6,22.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.floor,c032a4a1-0409-4372-9494-1e1546cc0aa1,
31aa8af2-4b2c-2d5b-72a7-32cbd6deff8e,-1,2022-02-10 08:31:00.830,2021-09-15 13:16:14.134,,1631741922300,3,3728.881,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_running,819c3910-dc71-4a89-9cdc-9072da1c93fb,
02b272d1-8d65-02f7-8f69-3e7a27901b83,-1,2022-02-10 08:31:00.819,2021-05-27 05:06:14.884,,1622120409660,1,3182110.0,14001,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_others,0eec4292-67f4-44ff-bb15-53684d37de93,
80078417-4917-8fa5-01ab-cf8664f48260,-1,2022-02-10 08:31:00.837,2021-09-19 11:18:23.807,,1632077318670,3,5910.987,-1,Nz95nEBsYs,com.sec.android.app.shealth,tracker.sport_walking,af455f38-ce24-44a5-8a6e-d91d4d3a8267,
,-100003,2019-01-14 15:00:00.814,2019-01-14 15:00:00.814,,1547424000000,0,6578.0,-1,2lBdpDiteS,com.sec.android.app.shealth,tracker.pedometer,d6252df9-533b-47d2-bb27-1d04bbacd14e,
