com.samsung.shealth.sleep,6210049,5
original_efficiency,mental_recovery,factor_01,factor_02,factor_03,factor_04,factor_05,factor_06,factor_07,factor_08,factor_09,factor_10,has_sleep_data,combined_id,data_version,physical_recovery,original_wake_up_time,movement_awakening,original_bed_time,quality,extra_data,sleep_cycle,efficiency,sleep_score,sleep_duration,com.samsung.health.sleep.start_time,com.samsung.health.sleep.custom,com.samsung.health.sleep.update_time,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.deviceuuid,com.samsung.health.sleep.comment,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.end_time,com.samsung.health.sleep.datauuid
,100.0,0,0,0,0,8,593,50,0,5,0,0,,,0.0,,2.0,,,27d11233-4d1c-fc67-aceb-fda16cbceb25.extra_data.json,4,98.0,60,593,2020-10-30 13:56:00.000,,2020-10-30 23:49:37.893,2020-10-30 23:49:35.363,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-10-30 23:49:00.000,27d11233-4d1c-fc67-aceb-fda16cbceb25,
,58.0,17,17,5,17,29,339,106,1,14,0,0,,,20.0,,9.0,,,a8ee64ef-0db3-af5e-136a-a42c860e6d3a.extra_data.json,3,91.0,60,339,2020-11-03 15:46:00.000,,2020-11-03 21:25:52.506,2020-11-03 21:25:49.117,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-03 21:25:00.000,a8ee64ef-0db3-af5e-136a-a42c860e6d3a,
,70.0,33,33,0,12,22,444,80,1,10,0,0,,,28.0,,5.0,,,fa79b92e-3cc3-6447-e810-d6c0ba407467.extra_data.json,5,95.0,79,444,2020-11-08 14:02:00.000,,2020-11-08 21:28:15.808,2020-11-08 21:26:30.177,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-08 21:26:00.000,fa79b92e-3cc3-6447-e810-d6c0ba407467,
,80.0,6,6,8,8,46,345,151,1,24,0,0,,,8.0,,14.0,,,89b86eea-9090-e4a1-2a00-70c3327736a1.extra_data.json,2,86.0,45,345,2020-11-09 15:36:00.000,,2020-11-09 21:24:00.822,2020-11-09 21:23:56.087,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-09 21:21:00.000,89b86eea-9090-e4a1-2a00-70c3327736a1,
,63.0,31,62,1,15,38,487,65,1,11,0,0,,,52.0,,8.0,,,30621ebe-9cd2-851a-ffc9-6a09d97c5643.extra_data.json,6,92.0,80,487,2020-11-13 13:52:00.000,,2020-11-13 22:05:26.233,2020-11-13 22:05:22.344,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-13 21:59:00.000,30621ebe-9cd2-851a-ffc9-6a09d97c5643,
,93.0,15,15,11,3,36,401,172,0,13,0,0,,,16.0,,9.0,,,1b8c3f3c-6a94-720b-8352-b4979a07c555.extra_data.json,3,91.0,68,401,2020-11-15 14:46:00.000,,2020-11-15 21:38:03.570,2020-11-15 21:38:01.345,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-15 21:27:00.000,1b8c3f3c-6a94-720b-8352-b4979a07c555,
,68.0,19,19,6,13,37,350,132,1,7,0,0,,,20.0,,11.0,,,9f16cfba-5b9a-2788-3273-d1b341b86115.extra_data.json,3,89.0,59,350,2020-11-22 15:29:00.000,,2020-11-22 21:20:04.467,2020-11-22 21:20:00.548,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-22 21:19:00.000,9f16cfba-5b9a-2788-3273-d1b341b86115,
,50.0,18,18,11,20,42,454,196,2,20,0,0,,,16.0,,10.0,,,fec2150d-ec9b-1d3f-3b2f-d47ef70f9e5a.extra_data.json,3,90.0,52,454,2020-11-23 15:39:00.000,,2020-11-23 23:16:14.241,2020-11-23 23:16:10.392,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-23 23:13:00.000,fec2150d-ec9b-1d3f-3b2f-d47ef70f9e5a,
,75.0,12,62,5,10,24,403,70,0,3,0,0,,,60.0,,6.0,,,82b05486-7155-1ff3-2104-698b23cb4818.extra_data.json,4,94.0,82,403,2020-11-29 14:59:00.000,,2020-11-29 21:42:46.425,2020-11-29 21:42:42.312,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-29 21:42:00.000,82b05486-7155-1ff3-2104-698b23cb4818,
,75.0,50,50,1,10,26,360,93,1,6,0,0,,,56.0,,8.0,,,48c2b71e-ffdc-2d1e-56be-98b1fcc1b986.extra_data.json,3,92.0,88,360,2020-11-30 15:23:00.000,,2020-11-30 21:24:30.064,2020-11-30 21:24:28.322,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-30 21:23:00.000,48c2b71e-ffdc-2d1e-56be-98b1fcc1b986,
,0.0,40,40,2,65,80,479,80,2,61,0,0,,,32.0,,17.0,,,74ee72a3-a84b-c074-f28d-b0beeaf265c9.extra_data.json,6,83.0,64,479,2020-12-08 15:33:00.000,,2020-12-08 23:32:33.011,2020-12-08 23:32:27.508,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-08 23:32:00.000,74ee72a3-a84b-c074-f28d-b0beeaf265c9,
,45.0,0,24,13,22,77,491,191,3,68,0,0,,,20.0,,16.0,,,34faca92-3e59-40cb-bc43-4d84cfb2e141.extra_data.json,4,84.0,38,491,2020-12-10 15:55:00.000,,2020-12-11 00:06:16.535,2020-12-11 00:06:14.372,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-11 00:06:00.000,34faca92-3e59-40cb-bc43-4d84cfb2e141,
,88.0,31,48,2,5,27,362,63,0,17,1,0,,,52.0,,8.0,,,4e8b0985-a4d5-f860-81fb-e07396e9d0b1.extra_data.json,3,92.0,86,363,2020-12-15 15:27:00.000,,2020-12-16 00:46:00.216,2020-12-15 21:46:23.384,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-15 21:30:00.000,4e8b0985-a4d5-f860-81fb-e07396e9d0b1,
,88.0,21,21,1,5,29,319,77,2,19,0,0,,,28.0,,10.0,,,cf7db995-0dde-56ec-075d-88e06a081959.extra_data.json,3,90.0,66,319,2020-12-16 16:07:00.000,,2020-12-16 21:28:55.971,2020-12-16 21:28:52.279,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-16 21:26:00.000,cf7db995-0dde-56ec-075d-88e06a081959,
,80.0,18,18,4,8,18,342,99,0,4,0,0,,,20.0,,6.0,,,1edf4b0d-843f-f822-0a48-12363e47e373.extra_data.json,5,94.0,71,342,2020-12-29 15:40:00.000,,2020-12-29 21:23:39.079,2020-12-29 21:23:36.259,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-12-29 21:22:00.000,1edf4b0d-843f-f822-0a48-12363e47e373,
,93.0,28,28,28,3,35,344,226,0,20,0,0,,,32.0,,11.0,,,9cd592c7-1328-77e5-679f-6df03490753d.extra_data.json,2,89.0,58,344,2021-01-03 15:44:00.000,,2021-01-03 21:28:18.065,2021-01-03 21:28:15.370,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-01-03 21:28:00.000,9cd592c7-1328-77e5-679f-6df03490753d,
,100.0,0,0,0,0,0,26,0,0,0,0,0,,,0.0,,0.0,,,ca806e7a-8092-8bde-2dc9-50bca787787d.extra_data.json,0,100.0,39,26,2021-01-10 21:49:00.000,,2021-01-10 22:16:20.131,2021-01-10 22:16:18.345,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-01-10 22:15:00.000,ca806e7a-8092-8bde-2dc9-50bca787787d,
,95.0,14,14,26,2,39,326,267,0,24,0,0,,,16.0,,12.0,,,a19a3f38-5521-8c3e-bd6e-7d7d917972d8.extra_data.json,2,88.0,53,326,2021-01-13 15:59:00.000,,2021-01-13 21:26:22.053,2021-01-13 21:26:15.394,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-01-13 21:25:00.000,a19a3f38-5521-8c3e-bd6e-7d7d917972d8,
,18.0,35,35,16,42,67,421,216,3,50,0,0,,1,57.0,,35.0,,,7daeb286-9261-2f4c-113a-9d95cc89ad25.extra_data.json,4,84.0,58,421,2021-01-21 16:01:00.000,,2021-01-21 23:02:10.487,2021-01-21 23:02:07.329,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-01-21 23:02:00.000,7daeb286-9261-2f4c-113a-9d95cc89ad25,
,70.0,0,35,0,0,0,60,0,0,0,0,0,,1,64.0,,0.0,,,1566c9ea-c486-6f6f-b0b7-8849abd8d2e0.extra_data.json,0,100.0,54,60,2021-01-24 06:41:00.000,,2021-01-24 07:58:18.459,2021-01-24 07:48:03.338,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-01-24 07:41:00.000,1566c9ea-c486-6f6f-b0b7-8849abd8d2e0,
,31.0,4,4,6,29,64,381,126,4,51,0,0,,1,40.0,,35.0,,,3cc20697-3044-8692-259f-a33d9e3fa342.extra_data.json,6,83.0,46,381,2021-02-01 16:24:00.000,,2021-02-01 22:45:48.663,2021-02-01 22:45:44.390,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-02-01 22:45:00.000,3cc20697-3044-8692-259f-a33d9e3fa342,
,66.0,28,28,9,4,19,322,183,1,6,0,0,,1,47.0,,13.0,,,2d78b5ff-9068-ee06-2ac6-1039e17323c0.extra_data.json,2,94.0,62,322,2021-02-02 16:38:00.000,,2021-02-02 22:01:20.241,2021-02-02 22:01:18.115,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-02-02 22:00:00.000,2d78b5ff-9068-ee06-2ac6-1039e17323c0,
,72.0,6,6,8,3,12,227,200,0,4,0,0,,1,27.0,,11.0,,,e6e321c9-8b16-5ed0-df2f-ca61c03a41ac.extra_data.json,1,94.0,60,227,2021-02-18 17:17:00.000,,2021-03-03 10:29:56.322,2021-02-18 21:04:17.111,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-02-18 21:04:00.000,e6e321c9-8b16-5ed0-df2f-ca61c03a41ac,
,33.0,14,14,14,37,83,504,199,2,56,0,0,,1,56.0,,35.0,,,aa16d12b-ead3-3d6c-2730-9f47ffe9d51c.extra_data.json,4,83.0,48,504,2021-03-02 15:24:00.000,,2021-03-03 10:29:56.345,2021-03-02 23:48:47.289,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-03-02 23:48:00.000,aa16d12b-ead3-3d6c-2730-9f47ffe9d51c,
,67.0,18,38,2,8,48,320,61,1,29,0,0,,1,56.0,,27.0,,,fc15260e-f6f4-ddfd-75af-432b6bd4d0d5.extra_data.json,3,85.0,63,320,2021-03-09 17:23:00.000,,2021-03-09 22:47:48.963,2021-03-09 22:46:42.315,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-03-09 22:43:00.000,fc15260e-f6f4-ddfd-75af-432b6bd4d0d5,
,81.0,15,43,6,4,60,321,83,0,52,0,0,,1,53.0,,42.0,,,58a7c4d7-a3a7-c59e-1f0a-d1c8cf149c46.extra_data.json,3,81.0,71,321,2021-03-10 17:38:00.000,,2021-03-10 23:07:26.332,2021-03-10 23:07:19.306,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-03-10 22:59:00.000,58a7c4d7-a3a7-c59e-1f0a-d1c8cf149c46,
,58.0,0,0,3,7,10,106,106,1,10,0,0,,1,11.0,,22.0,,,d71524fe-871c-4456-266b-e1728a0dbe8d.extra_data.json,1,90.0,37,106,2021-04-13 11:20:00.000,,2021-04-13 13:13:17.611,2021-04-13 13:13:15.019,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-04-13 13:06:00.000,d71524fe-871c-4456-266b-e1728a0dbe8d,
,70.0,0,15,6,5,49,368,62,1,32,0,0,,1,41.0,,32.0,,,5e370a08-6b19-956b-1285-efea5ac1e47f.extra_data.json,3,86.0,57,368,2021-04-13 16:52:00.000,,2021-04-13 23:00:19.066,2021-04-13 23:00:14.805,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2021-04-13 23:00:00.000,5e370a08-6b19-956b-1285-efea5ac1e47f,
