com.samsung.shealth.stress,6210049,7
start_time,custom,binning_data,tag_id,update_time,create_time,max,min,score,algorithm,time_offset,deviceuuid,comment,pkg_name,end_time,datauuid
2020-10-31 03:15:28.496,,,10000,2020-10-31 03:15:28.496,2020-10-31 03:15:28.496,14.0,14.0,14.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-10-31 03:15:28.496,dc1ba31c-da45-f668-1fc7-6134ab95193b,
2020-11-04 03:01:47.024,,,10000,2020-11-04 03:01:47.024,2020-11-04 03:01:47.024,3.0,3.0,3.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-04 03:01:47.024,2cc010c2-56e5-2076-7d9b-3c3c88552bab,
2020-11-04 08:00:00.000,,9b9e07e9-a72b-1ad3-216e-6b5e679e6028.binning_data.json,10011,2020-11-04 09:08:18.702,2020-11-04 08:05:49.587,68.0,0.0,17.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-04 08:59:59.999,9b9e07e9-a72b-1ad3-216e-6b5e679e6028,
2020-11-04 14:00:00.000,,cee84a7c-d9fc-eb7f-867a-9a58f6414e6d.binning_data.json,10011,2020-11-04 15:02:39.524,2020-11-04 14:10:33.705,100.0,0.0,55.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-04 14:59:59.999,cee84a7c-d9fc-eb7f-867a-9a58f6414e6d,
2020-11-05 03:00:00.000,,fb1f0172-8901-5019-654b-e00f105c7d07.binning_data.json,10011,2020-11-05 04:01:29.760,2020-11-05 04:01:29.760,99.0,0.0,43.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-05 03:59:59.999,fb1f0172-8901-5019-654b-e00f105c7d07,
2020-11-05 09:00:00.000,,86548ea8-5d82-7a5f-8a42-4948c8431535.binning_data.json,10011,2020-11-05 10:08:06.485,2020-11-05 09:14:59.606,99.0,0.0,48.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-05 09:59:59.999,86548ea8-5d82-7a5f-8a42-4948c8431535,
2020-11-05 15:00:00.000,,ff11c433-b5f3-4c26-af41-2091632f2cf2.binning_data.json,10011,2020-11-05 16:07:59.787,2020-11-05 16:07:59.787,88.0,9.0,33.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-05 15:59:59.999,ff11c433-b5f3-4c26-af41-2091632f2cf2,
2020-11-06 04:00:00.000,,0166c5f0-5d98-721c-7936-6c57209da055.binning_data.json,10011,2020-11-06 05:01:39.539,2020-11-06 04:13:04.743,100.0,100.0,100.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-06 04:59:59.999,0166c5f0-5d98-721c-7936-6c57209da055,
2020-11-06 10:00:00.000,,aeb85d08-df76-f018-0fc2-2feb98935102.binning_data.json,10011,2020-11-06 11:02:23.498,2020-11-06 10:27:10.586,100.0,0.0,63.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-06 10:59:59.999,aeb85d08-df76-f018-0fc2-2feb98935102,
2020-11-06 22:00:00.000,,ba6815ed-6d62-2db8-7d86-911a06aa98eb.binning_data.json,10011,2020-11-07 02:06:41.328,2020-11-07 02:06:41.328,100.0,100.0,100.0,1,UTC+0900,m6sL7dLFqc,,com.sec.android.app.shealth,2020-11-06 22:59:59.999,ba6815ed-6d62-2db8-7d86-911a06aa98eb,
