com.samsung.shealth.tracker.pedometer_day_summary,6210049,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
185,f1564ad7-c91d-4393-b2af-6c995d7c0eea.binning_data.json,89813,6000,5,2019-01-12 15:00:02.418,com.sec.android.app.shealth,2019-01-12 15:00:02.418,,1.8888888,146.94,6.8999996,180,2lBdpDiteS,com.sec.android.app.shealth,0,f1564ad7-c91d-4393-b2af-6c995d7c0eea.achievement.json,f1564ad7-c91d-4393-b2af-6c995d7c0eea,1547251200000,
4801,1e102d8c-5c1d-48cb-b8b2-2c5c6227ae25.binning_data.json,2404448,6000,71,2019-01-13 13:50:34.318,com.sec.android.app.shealth,2019-01-12 15:00:44.397,1e102d8c-5c1d-48cb-b8b2-2c5c6227ae25.source_info.json,1.5252855,3667.47,178.82999,4730,VfS0qUERdZ,com.sec.android.app.shealth,0,1e102d8c-5c1d-48cb-b8b2-2c5c6227ae25.achievement.json,1e102d8c-5c1d-48cb-b8b2-2c5c6227ae25,1547337600000,
185,77b7c81c-d26d-4176-8496-201a3cb8c894.binning_data.json,89816,6000,5,2019-01-12 14:57:07.476,com.sec.android.app.shealth,2019-01-12 06:34:21.573,77b7c81c-d26d-4176-8496-201a3cb8c894.source_info.json,1.6360106,146.94,6.8999996,180,VfS0qUERdZ,com.sec.android.app.shealth,0,77b7c81c-d26d-4176-8496-201a3cb8c894.achievement.json,77b7c81c-d26d-4176-8496-201a3cb8c894,1547251200000,
4801,d887424b-9e06-4c69-a103-81d0fb248ebc.binning_data.json,2404404,6000,71,2019-01-13 15:00:03.205,com.sec.android.app.shealth,2019-01-13 15:00:03.205,,2.6111114,3667.47,178.82999,4730,2lBdpDiteS,com.sec.android.app.shealth,0,d887424b-9e06-4c69-a103-81d0fb248ebc.achievement.json,d887424b-9e06-4c69-a103-81d0fb248ebc,1547337600000,
6324,b54c252e-cd95-484e-a584-ee6285505303.binning_data.json,3184663,6000,81,2019-01-15 15:00:01.448,com.sec.android.app.shealth,2019-01-15 15:00:01.448,,4.75,4769.88,236.33998,6243,2lBdpDiteS,com.sec.android.app.shealth,0,b54c252e-cd95-484e-a584-ee6285505303.achievement.json,b54c252e-cd95-484e-a584-ee6285505303,1547510400000,
11597,222a9de7-60c3-48b3-8760-7717321c39db.binning_data.json,5945988,6000,248,2019-01-20 15:00:03.379,com.sec.android.app.shealth,2019-01-15 15:02:34.862,222a9de7-60c3-48b3-8760-7717321c39db.source_info.json,1.500087,8919.5,434.34998,11349,VfS0qUERdZ,com.sec.android.app.shealth,0,222a9de7-60c3-48b3-8760-7717321c39db.achievement.json,222a9de7-60c3-48b3-8760-7717321c39db,1547596800000,
11597,85967a2a-7339-4fee-9be1-27f01fc3f704.binning_data.json,5945890,6000,248,2019-01-20 15:00:02.178,com.sec.android.app.shealth,2019-01-16 07:54:19.301,,6.944443,8919.5,434.34998,11349,2lBdpDiteS,com.sec.android.app.shealth,0,85967a2a-7339-4fee-9be1-27f01fc3f704.achievement.json,85967a2a-7339-4fee-9be1-27f01fc3f704,1547596800000,
14058,e1e72645-0719-4b23-93fc-b2238e8c17ae.binning_data.json,7131028,6000,205,2019-01-20 15:00:02.423,com.sec.android.app.shealth,2019-01-18 15:00:01.726,,3.9722219,11031.311,515.27997,13853,2lBdpDiteS,com.sec.android.app.shealth,6942,e1e72645-0719-4b23-93fc-b2238e8c17ae.achievement.json,e1e72645-0719-4b23-93fc-b2238e8c17ae,1547769600000,
6324,b4d6719b-a9ba-4e75-bad2-f51efe1aad99.binning_data.json,3184714,6000,81,2019-01-15 12:58:00.389,com.sec.android.app.shealth,2019-01-14 15:09:03.159,b4d6719b-a9ba-4e75-bad2-f51efe1aad99.source_info.json,1.4977419,4769.88,236.33998,6243,VfS0qUERdZ,com.sec.android.app.shealth,0,b4d6719b-a9ba-4e75-bad2-f51efe1aad99.achievement.json,b4d6719b-a9ba-4e75-bad2-f51efe1aad99,1547510400000,
4189,ddacea1d-baca-4d87-825b-52e098ee7ddc.binning_data.json,2027308,6000,26,2019-01-19 15:00:02.420,com.sec.android.app.shealth,2019-01-19 15:00:02.420,,2.5555558,3333.9001,145.23999,4163,2lBdpDiteS,com.sec.android.app.shealth,0,ddacea1d-baca-4d87-825b-52e098ee7ddc.achievement.json,ddacea1d-baca-4d87-825b-52e098ee7ddc,1547856000000,
4189,4ab4099e-e791-4662-9f5d-f7237412509b.binning_data.json,2027351,6000,26,2019-01-19 14:55:00.366,com.sec.android.app.shealth,2019-01-18 15:03:37.420,4ab4099e-e791-4662-9f5d-f7237412509b.source_info.json,1.644461,3333.9001,145.23999,4163,VfS0qUERdZ,com.sec.android.app.shealth,0,4ab4099e-e791-4662-9f5d-f7237412509b.achievement.json,4ab4099e-e791-4662-9f5d-f7237412509b,1547856000000,
3724,decae290-07a9-4e87-8d82-39ee87e9f2d6.binning_data.json,1945614,6000,80,2019-01-23 15:00:02.443,com.sec.android.app.shealth,2019-01-22 15:00:02.742,,2.7777774,2857.0999,143.28996,3644,2lBdpDiteS,com.sec.android.app.shealth,1469,decae290-07a9-4e87-8d82-39ee87e9f2d6.achievement.json,decae290-07a9-4e87-8d82-39ee87e9f2d6,1548115200000,
14058,f15adb30-f4fc-4594-a362-1673da57c84d.binning_data.json,7131130,6000,205,2019-01-20 15:00:03.684,com.sec.android.app.shealth,2019-01-17 21:03:35.983,f15adb30-f4fc-4594-a362-1673da57c84d.source_info.json,1.546923,11031.311,515.27997,13853,VfS0qUERdZ,com.sec.android.app.shealth,0,f15adb30-f4fc-4594-a362-1673da57c84d.achievement.json,f15adb30-f4fc-4594-a362-1673da57c84d,1547769600000,
8037,44716575-ada8-444d-8342-440c23fc6dfa.binning_data.json,4255711,6000,23,2019-01-23 15:00:02.440,com.sec.android.app.shealth,2019-01-21 15:00:01.918,,3.9444444,6113.12,294.21997,8014,2lBdpDiteS,com.sec.android.app.shealth,1305,44716575-ada8-444d-8342-440c23fc6dfa.achievement.json,44716575-ada8-444d-8342-440c23fc6dfa,1548028800000,
6566,d8cf3a91-5a0f-4af2-87d1-cbada641fee3.binning_data.json,3413509,6000,27,2019-01-25 15:00:03.338,com.sec.android.app.shealth,2019-01-25 15:00:03.338,,3.7777781,5005.5996,244.61995,6539,2lBdpDiteS,com.sec.android.app.shealth,3821,d8cf3a91-5a0f-4af2-87d1-cbada641fee3.achievement.json,d8cf3a91-5a0f-4af2-87d1-cbada641fee3,1548374400000,
3631,e1e54a54-c485-4423-89d1-11425a09c915.binning_data.json,1873821,6000,38,2019-01-24 15:00:02.745,com.sec.android.app.shealth,2019-01-24 15:00:02.745,,2.2500002,2721.7898,145.65,3593,2lBdpDiteS,com.sec.android.app.shealth,1325,e1e54a54-c485-4423-89d1-11425a09c915.achievement.json,e1e54a54-c485-4423-89d1-11425a09c915,1548288000000,
3724,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f.binning_data.json,1945641,6000,80,2019-01-23 15:00:03.522,com.sec.android.app.shealth,2019-01-21 21:59:55.074,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f.source_info.json,1.4684616,2857.0999,143.28996,3644,VfS0qUERdZ,com.sec.android.app.shealth,0,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f.achievement.json,7f2b63c6-fccc-429f-bcf4-7c2a5dbd183f,1548115200000,
8037,3d44e09b-003e-4cd3-8525-c0619db0b749.binning_data.json,4255763,6000,23,2019-01-23 15:00:03.662,com.sec.android.app.shealth,2019-01-20 22:47:17.896,3d44e09b-003e-4cd3-8525-c0619db0b749.source_info.json,1.4364332,6113.12,294.21997,8014,VfS0qUERdZ,com.sec.android.app.shealth,0,3d44e09b-003e-4cd3-8525-c0619db0b749.achievement.json,3d44e09b-003e-4cd3-8525-c0619db0b749,1548028800000,
